Split: 1071 train / 267 val
Train class counts: {'B0A Pointing (one finger)': 616, 'G03 Throw up': 114, 'G04 Throw down': 115, 'G06 Throw right': 116, 'G07 Open twice': 110}
Fine-tuning backbone: 3,908,218 params at lr=3e-05
Epoch   1/60  train_loss=1.6255  train_acc=34.55%  val_loss=1.0771  val_acc=67.04%
  ✓ Checkpoint saved → checkpointsest_model.pt  (val_acc=67.04%)
Epoch   2/60  train_loss=0.9366  train_acc=72.55%  val_loss=0.8787  val_acc=79.78%
  ✓ Checkpoint saved → checkpointsest_model.pt  (val_acc=79.78%)
Epoch   3/60  train_loss=0.6645  train_acc=85.15%  val_loss=0.9233  val_acc=80.15%
  ✓ Checkpoint saved → checkpointsest_model.pt  (val_acc=80.15%)
Epoch   4/60  train_loss=0.4814  train_acc=92.44%  val_loss=1.0684  val_acc=82.77%
  ✓ Checkpoint saved → checkpointsest_model.pt  (val_acc=82.77%)
Epoch   5/60  train_loss=0.4523  train_acc=93.93%  val_loss=0.8806  val_acc=91.76%
  ✓ Checkpoint saved → checkpointsest_model.pt  (val_acc=91.76%)
Epoch   6/60  train_loss=0.3668  train_acc=96.08%  val_loss=0.9695  val_acc=90.64%
Epoch   7/60  train_loss=0.3359  train_acc=97.57%  val_loss=0.9799  val_acc=89.51%
Epoch   8/60  train_loss=0.2997  train_acc=97.29%  val_loss=0.9562  val_acc=90.26%
Epoch   9/60  train_loss=0.4089  train_acc=97.76%  val_loss=0.8320  val_acc=88.76%
Epoch  10/60  train_loss=0.2632  train_acc=98.23%  val_loss=0.9902  val_acc=90.26%
Epoch  11/60  train_loss=0.3220  train_acc=98.60%  val_loss=0.9159  val_acc=91.39%
Epoch  12/60  train_loss=0.3921  train_acc=99.25%  val_loss=0.9504  val_acc=87.64%
Epoch  13/60  train_loss=0.3490  train_acc=99.25%  val_loss=0.8326  val_acc=91.39%
Epoch  14/60  train_loss=0.2292  train_acc=99.16%  val_loss=0.8906  val_acc=92.51%
  ✓ Checkpoint saved → checkpointsest_model.pt  (val_acc=92.51%)
Epoch  15/60  train_loss=0.2551  train_acc=99.07%  val_loss=0.9035  val_acc=91.39%
Epoch  16/60  train_loss=0.3411  train_acc=99.44%  val_loss=0.8727  val_acc=92.51%
Epoch  17/60  train_loss=0.2602  train_acc=99.35%  val_loss=0.8363  val_acc=92.51%
Epoch  18/60  train_loss=0.2873  train_acc=98.97%  val_loss=0.9379  val_acc=90.26%
Epoch  19/60  train_loss=0.3004  train_acc=99.25%  val_loss=0.8636  val_acc=91.76%
Epoch  20/60  train_loss=0.2299  train_acc=99.81%  val_loss=0.8468  val_acc=91.01%
Epoch  21/60  train_loss=0.2120  train_acc=99.72%  val_loss=0.8625  val_acc=93.26%
  ✓ Checkpoint saved → checkpointsest_model.pt  (val_acc=93.26%)
Epoch  22/60  train_loss=0.3256  train_acc=99.44%  val_loss=0.8151  val_acc=92.51%
Epoch  23/60  train_loss=0.2788  train_acc=99.91%  val_loss=0.8109  val_acc=92.13%
Epoch  24/60  train_loss=0.2867  train_acc=99.81%  val_loss=0.7911  val_acc=92.88%
Epoch  25/60  train_loss=0.2547  train_acc=99.81%  val_loss=0.7931  val_acc=92.51%
Epoch  26/60  train_loss=0.2705  train_acc=99.72%  val_loss=0.7705  val_acc=91.39%
Epoch  27/60  train_loss=0.1525  train_acc=100.00%  val_loss=0.8632  val_acc=91.76%
Epoch  28/60  train_loss=0.2459  train_acc=99.53%  val_loss=0.7493  val_acc=92.13%
Epoch  29/60  train_loss=0.2389  train_acc=99.63%  val_loss=0.7943  val_acc=92.13%
Epoch  30/60  train_loss=0.2138  train_acc=99.63%  val_loss=0.8726  val_acc=89.89%
Epoch  31/60  train_loss=0.1878  train_acc=99.72%  val_loss=0.8187  val_acc=91.39%
  Early stop at epoch 31. Best: 93.26%
